last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 22322, 'driving_acc': 0.021, 'driving_dist': 7.841, 'player_name': 'McKibbin, Tom', 'sg_app': -0.206, 'sg_arg': 0.019, 'sg_ott': 0.599, 'sg_putt': 0.004, 'sg_total': 0.416}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23602, 'driving_acc': -0.059, 'driving_dist': 13.942, 'player_name': 'Hojgaard, Nicolai', 'sg_app': 0.297, 'sg_arg': -0.138, 'sg_ott': 0.237, 'sg_putt': 0.02, 'sg_total': 0.416}"
2025-06-09 16:00:33 UTC,"{'dg_id': 12808, 'driving_acc': 0.056, 'driving_dist': -3.339, 'player_name': 'Grillo, Emiliano', 'sg_app': 0.48, 'sg_arg': -0.27, 'sg_ott': 0.228, 'sg_putt': -0.024, 'sg_total': 0.415}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23505, 'driving_acc': 0.058, 'driving_dist': -3.388, 'player_name': 'McGreevy, Max', 'sg_app': 0.264, 'sg_arg': -0.025, 'sg_ott': 0.311, 'sg_putt': -0.138, 'sg_total': 0.412}"
2025-06-09 16:00:33 UTC,"{'dg_id': 16333, 'driving_acc': 0.043, 'driving_dist': -3.124, 'player_name': 'Hubbard, Mark', 'sg_app': 0.196, 'sg_arg': -0.025, 'sg_ott': 0.212, 'sg_putt': 0.024, 'sg_total': 0.407}"
2025-06-09 16:00:33 UTC,"{'dg_id': 21646, 'driving_acc': 0.077, 'driving_dist': -3.316, 'player_name': 'Ferguson, Ewen', 'sg_app': 0.09, 'sg_arg': -0.037, 'sg_ott': 0.387, 'sg_putt': -0.038, 'sg_total': 0.402}"
2025-06-09 16:00:33 UTC,"{'dg_id': 21756, 'driving_acc': -0.016, 'driving_dist': -1.69, 'player_name': 'Cole, Eric', 'sg_app': 0.239, 'sg_arg': 0.184, 'sg_ott': -0.226, 'sg_putt': 0.199, 'sg_total': 0.396}"
2025-06-09 16:00:33 UTC,"{'dg_id': 26850, 'driving_acc': -0.031, 'driving_dist': 15.038, 'player_name': 'Svensson, Jesper', 'sg_app': -0.21, 'sg_arg': 0.018, 'sg_ott': 0.518, 'sg_putt': 0.069, 'sg_total': 0.394}"
2025-06-09 16:00:33 UTC,"{'dg_id': 13944, 'driving_acc': -0.037, 'driving_dist': 5.205, 'player_name': 'Pieters, Thomas', 'sg_app': 0.11, 'sg_arg': 0.016, 'sg_ott': 0.14, 'sg_putt': 0.125, 'sg_total': 0.391}"
2025-06-09 16:00:33 UTC,"{'dg_id': 24550, 'driving_acc': 0.039, 'driving_dist': -0.845, 'player_name': 'Ghim, Doug', 'sg_app': 0.418, 'sg_arg': -0.01, 'sg_ott': 0.295, 'sg_putt': -0.316, 'sg_total': 0.387}"
2025-06-09 16:00:33 UTC,"{'dg_id': 8825, 'driving_acc': 0.05, 'driving_dist': -7.486, 'player_name': 'Harman, Brian', 'sg_app': 0.066, 'sg_arg': 0.12, 'sg_ott': -0.044, 'sg_putt': 0.232, 'sg_total': 0.374}"
